web-scraper-order,web-scraper-start-url,info-box,info-box-href,name,mbti-evsi,mbti-svsn,mbti-tvsf,mbti-pvsj,enneagram-finder,insticnt-variant
"1615571763-2656","https://www.personality-database.com/personality_type/6","158 / 54   46   20  ISFP9w1Hila Klein (h3h3Productions)   Social, Cultural & Political Commentators","https://www.personality-database.com/profile/21490/hila-klein-h3h3productions-social-cultural-political-commentators-mbti-personality-type","","I","S","F","J","9w1","sp/so"
"1615574160-3454","https://www.personality-database.com/personality_type/3","181 / 77   62   57  ISFJ9w1Nihachu   Gaming","https://www.personality-database.com/profile/131789/nihachu-gaming-mbti-personality-type","","I","S","F","J","9w1","so/sp"
"1615569308-1994","https://www.personality-database.com/personality_type/9","381 / 151   103   118  INFJ1w9Mohandas “Mahatma” Gandhi   Historical Figures (1900s)","https://www.personality-database.com/profile/3040/mohandas-mahatma-gandhi-historical-figures-1900s-mbti-personality-type","","I","N","F","J","1w9","so/sp"
"1615564295-751","https://www.personality-database.com/personality_type/14","507 / 208   414   141  ENTP6w7Phoenix Wright   Ace Attorney","https://www.personality-database.com/profile/10319/phoenix-wright-ace-attorney-mbti-personality-type","","E","N","T","P","6w7","so/sp"
"1615564207-725","https://www.personality-database.com/personality_type/14","369 / 170   110   171  ENTP7w8Korosensei   Ansatsu Kyoushitsu","https://www.personality-database.com/profile/4647/korosensei-ansatsu-kyoushitsu-mbti-personality-type","","E","N","T","P","7w8","so/sx"
"1615572023-2739","https://www.personality-database.com/personality_type/6","290 / 156   69   53  ISFP4w3Joe Gardner   Soul (2020)","https://www.personality-database.com/profile/106393/joe-gardner-soul-2020-mbti-personality-type","","I","S","F","P","4w3","sp/so"
"1615564693-883","https://www.personality-database.com/personality_type/13","162 / 45   90   62  INTP5w6James Rallison (TheOdd1sOut)   Artists & Animators","https://www.personality-database.com/profile/9362/james-rallison-theodd1sout-artists-animators-mbti-personality-type","","I","N","T","P","5w6","sp/so"
"1615566710-1359","https://www.personality-database.com/personality_type/11","174 / 96   60   115  INFP4w5Holden Caulfield   The Catcher in the Rye","https://www.personality-database.com/profile/5026/holden-caulfield-the-catcher-in-the-rye-mbti-personality-type","","I","N","F","P","4w5","sx/sp"
"1615573536-3246","https://www.personality-database.com/personality_type/4","231 / 102   90   22  ESFJ2w1Daphne Bridgerton   Bridgerton (2020)","https://www.personality-database.com/profile/164437/daphne-bridgerton-bridgerton-2020-mbti-personality-type","","E","S","F","J","2w1","so/sp"
"1615564429-790","https://www.personality-database.com/personality_type/14","1630 / 410   1464   337  ENTP7w6Felix Kjellberg (PewDiePie)   General Vloggers","https://www.personality-database.com/profile/5471/felix-kjellberg-pewdiepie-general-vloggers-mbti-personality-type","","I","N","T","P","7w6","sp/sx"
"1615575695-3999","https://www.personality-database.com/personality_type/1","312 / 145   75   74  ISTJ1w9Raymond Holt   Brooklyn Nine-Nine","https://www.personality-database.com/profile/6492/raymond-holt-brooklyn-ninenine-mbti-personality-type","","I","S","T","J","1w9","sp/so"
"1615563836-623","https://www.personality-database.com/personality_type/14","183 / 116   50   77  ENTP5w4Mahito   Jujutsu Kaisen","https://www.personality-database.com/profile/79832/mahito-jujutsu-kaisen-mbti-personality-type","","E","N","T","P","5w4","sp/sx"
"1615571179-2458","https://www.personality-database.com/personality_type/7","213 / 145   33   38  ESTP8w7Mondo Owada   Danganronpa: Trigger Happy Havoc","https://www.personality-database.com/profile/30677/mondo-owada-danganronpa-trigger-happy-havoc-mbti-personality-type","","E","S","T","P","8w7","sx/so"
"1615567849-1638","https://www.personality-database.com/personality_type/10","111 / 44   21   29  ENFJ3w2Stolas   Helluva Boss","https://www.personality-database.com/profile/72025/stolas-helluva-boss-mbti-personality-type","","E","N","F","J","3w2","sx/so"
"1615566850-1394","https://www.personality-database.com/personality_type/11","201 / 107   58   249  INFP9w1Stuart ""2-D"" Pot   Musicians (United Kingdom & Ireland)","https://www.personality-database.com/profile/36781/stuart-2d-pot-musicians-united-kingdom-ireland-mbti-personality-type","","I","N","F","P","9w1","sp/so"
"1615565010-964","https://www.personality-database.com/personality_type/13","294 / 122   74   70  INTP5w6Sollux Captor   Homestuck","https://www.personality-database.com/profile/27339/sollux-captor-homestuck-mbti-personality-type","","I","N","T","P","5w6","sp/sx"
"1615565924-1179","https://www.personality-database.com/personality_type/12","209 / 64   680   33  ENFP7w6Felix Lengyel (xQc)   Gaming","https://www.personality-database.com/profile/43957/felix-lengyel-xqc-gaming-mbti-personality-type","","E","N","F","P","7w6","sp/sx"
"1615566173-1237","https://www.personality-database.com/personality_type/12","343 / 128   115   159  ENFP9w1Mavis Dracula   Hotel Transylvania (2012)","https://www.personality-database.com/profile/12270/mavis-dracula-hotel-transylvania-2012-mbti-personality-type","","E","N","F","P","9w1","so/sx"
"1615566416-1288","https://www.personality-database.com/personality_type/12","1033 / 305   285   424  ENFP6w7Peter Parker ""Spider-Man""   Marvel Cinematic Universe","https://www.personality-database.com/profile/2589/peter-parker-spiderman-marvel-cinematic-universe-mbti-personality-type","","E","N","F","P","6w7","so/sx"
"1615573988-3396","https://www.personality-database.com/personality_type/3","125 / 47   17   39  ISFJ9w1Megumi Tadokoro   Shokugeki no Souma","https://www.personality-database.com/profile/16381/megumi-tadokoro-shokugeki-no-souma-mbti-personality-type","","I","S","F","J","9w1","sx/so"
"1615571158-2451","https://www.personality-database.com/personality_type/7","200 / 117   40   51  ESTP7w8Akane Owari   Super Danganronpa 2: Goodbye Despair","https://www.personality-database.com/profile/10272/akane-owari-super-danganronpa-2-goodbye-despair-mbti-personality-type","","E","S","T","P","7w8","sp/sx"
"1615574423-3536","https://www.personality-database.com/personality_type/3","631 / 278   216   191  ISFJ9w1Fluttershy   My Little Pony: Friendship Is Magic (2010)","https://www.personality-database.com/profile/1577/fluttershy-my-little-pony-friendship-is-magic-2010-mbti-personality-type","","I","S","F","J","9w1","sp/so"
"1615563614-559","https://www.personality-database.com/personality_type/14","134 / 42   11   33  ENTP6w5Mr. Robot   Mr. Robot","https://www.personality-database.com/profile/1668/mr-robot-mr-robot-mbti-personality-type","","E","N","T","P","6w5","sx/sp"
"1615564357-770","https://www.personality-database.com/personality_type/14","615 / 248   129   316  ENTP7w6Gumball Watterson   The Amazing World of Gumball (2011)","https://www.personality-database.com/profile/1756/gumball-watterson-the-amazing-world-of-gumball-2011-mbti-personality-type","","E","N","T","P","7w6","sx/so"
"1615572810-2986","https://www.personality-database.com/personality_type/5","295 / 113   201   31  ESFP6w7Floch Forster   Shingeki no Kyojin","https://www.personality-database.com/profile/16547/floch-forster-shingeki-no-kyojin-mbti-personality-type","","E","S","T","P","6w7","sx/sp"
"1615573717-3293","https://www.personality-database.com/personality_type/3","81 / 29   2   8  ISFJ9w1Agnes   The Umbrella Academy (2019)","https://www.personality-database.com/profile/31267/agnes-the-umbrella-academy-2019-mbti-personality-type","","I","S","F","J","9w1","so/sx"
"1615571007-2402","https://www.personality-database.com/personality_type/7","153 / 82   34   47  ESTP4w3Rio Ranger   Kimi ga Shine (Your Turn to Die)","https://www.personality-database.com/profile/41178/rio-ranger-kimi-ga-shine-your-turn-to-die-mbti-personality-type","","E","S","T","P","4w3","so/sx"
"1615562840-349","https://www.personality-database.com/personality_type/15","143 / 59   61   31  INTJ3w2Shadow Weaver   She-Ra and the Princesses of Power (2018)","https://www.personality-database.com/profile/45606/shadow-weaver-shera-and-the-princesses-of-power-2018-mbti-personality-type","","I","N","T","J","3w2","so/sp"
"1615562168-155","https://www.personality-database.com/personality_type/16","150 / 69   21   24  ENTJ3w4Peach Salinger   You","https://www.personality-database.com/profile/22809/peach-salinger-you-mbti-personality-type","","E","N","T","J","3w4","sx/sp"
"1615563722-594","https://www.personality-database.com/personality_type/14","157 / 77   18   58  ENTP3w2Krone   Yakusoku no Neverland","https://www.personality-database.com/profile/16622/krone-yakusoku-no-neverland-mbti-personality-type","","E","N","T","P","3w2","so/sx"
"1615565866-1172","https://www.personality-database.com/personality_type/12","201 / 81   28   156  ENFP2w1Emily, the Corpse Bride   Corpse Bride (2005)","https://www.personality-database.com/profile/5598/emily-the-corpse-bride-corpse-bride-2005-mbti-personality-type","","E","N","F","P","2w1","sx/so"
"1615564220-729","https://www.personality-database.com/personality_type/14","379 / 175   137   206  ENTP7w8Izaya Orihara   Durarara!!","https://www.personality-database.com/profile/3008/izaya-orihara-durarara-mbti-personality-type","","E","N","T","P","7w8","sx/so"
"1615565170-997","https://www.personality-database.com/personality_type/13","386 / 149   82   167  INTP5w4Elliot Alderson   Mr. Robot","https://www.personality-database.com/profile/1667/elliot-alderson-mr-robot-mbti-personality-type","","I","N","T","P","5w4","sp/sx"
"1615575651-3985","https://www.personality-database.com/personality_type/1","270 / 69   12   32  ISTJ1w9Brienne of Tarth   Game of Thrones (2011)","https://www.personality-database.com/profile/5274/brienne-of-tarth-game-of-thrones-2011-mbti-personality-type","","I","S","T","J","1w9","sp/so"
"1615565206-1006","https://www.personality-database.com/personality_type/13","443 / 148   86   197  INTP5w4""Neo"" Thomas A. Anderson   The Matrix Trilogy (The Matrix)","https://www.personality-database.com/profile/303/neo-thomas-a-anderson-the-matrix-trilogy-the-matrix-mbti-personality-type","","I","N","T","P","5w4","sp/sx"
"1615564786-908","https://www.personality-database.com/personality_type/13","188 / 102   36   91  INTP4w5Violet Harmon   American Horror Story (2011)","https://www.personality-database.com/profile/1716/violet-harmon-american-horror-story-2011-mbti-personality-type","","I","N","T","P","4w5","sp/sx"
"1615568192-1727","https://www.personality-database.com/personality_type/10","227 / 120   59   55  ENFJ1w2Shaiapouf   Hunter X Hunter","https://www.personality-database.com/profile/7329/shaiapouf-hunter-x-hunter-mbti-personality-type","","E","N","F","J","1w2","sx/so"
"1615574504-3566","https://www.personality-database.com/personality_type/2","70 / 43   1   10  ESTJ8w7Heather Chandler   Heathers","https://www.personality-database.com/profile/11293/heather-chandler-heathers-mbti-personality-type","","E","S","T","J","8w7","sp/so"
"1615564979-956","https://www.personality-database.com/personality_type/13","265 / 143   167   165  INTP5w4Jschlatt   Gaming","https://www.personality-database.com/profile/61121/jschlatt-gaming-mbti-personality-type","","I","N","T","P","5w4","sp/so"
"1615565644-1113","https://www.personality-database.com/personality_type/12","152 / 67   9   78  ENFP7w6Camie Utsushimi “Maboromicamie”   Boku no Hero Academia","https://www.personality-database.com/profile/48123/camie-utsushimi-maboromicamie-boku-no-hero-academia-mbti-personality-type","","E","N","F","P","7w6","sx/so"
"1615564223-730","https://www.personality-database.com/personality_type/14","380 / 175   86   135  ENTP5w4Orochimaru   Naruto Shippūden","https://www.personality-database.com/profile/2154/orochimaru-naruto-shippden-mbti-personality-type","","E","N","T","P","5w4","sp/sx"
"1615568656-1842","https://www.personality-database.com/personality_type/9","116 / 30   1   38  INFJ9w1Athelstan   Vikings (2013)","https://www.personality-database.com/profile/5837/athelstan-vikings-2013-mbti-personality-type","","I","N","F","J","9w1","sp/so"
"1615574082-3427","https://www.personality-database.com/personality_type/3","144 / 64   73   44  ISFJ9w1Furukawa Nagisa   Clannad","https://www.personality-database.com/profile/5254/furukawa-nagisa-clannad-mbti-personality-type","","I","S","F","J","9w1","sp/so"
"1615571472-2552","https://www.personality-database.com/personality_type/6","105 / 46   12   33  ISFP9w1Isak Valtersen   Skam (2015)","https://www.personality-database.com/profile/15441/isak-valtersen-skam-2015-mbti-personality-type","","I","S","F","P","9w1","sp/sx"
"1615574554-3587","https://www.personality-database.com/personality_type/2","76 / 29   15   11  ESTJ6w7Kenny   The Walking Dead: Season One","https://www.personality-database.com/profile/6423/kenny-the-walking-dead-season-one-mbti-personality-type","","E","S","T","J","6w7","sx/so"
"1615570190-2210","https://www.personality-database.com/personality_type/8","231 / 120   101   77  ISTP9w8Arthur Morgan   Red Dead Redemption 2","https://www.personality-database.com/profile/8600/arthur-morgan-red-dead-redemption-2-mbti-personality-type","","I","S","T","P","9w8","sp/sx"
"1615572012-2735","https://www.personality-database.com/personality_type/6","280 / 140   73   61  ISFP6w7Riley Andersen   Inside Out (2015)","https://www.personality-database.com/profile/12585/riley-andersen-inside-out-2015-mbti-personality-type","","I","S","F","P","6w7","so/sx"
"1615568593-1823","https://www.personality-database.com/personality_type/9","106 / 30   9   75  INFJ9w1Mitsuki   Boruto - Naruto Next Generations","https://www.personality-database.com/profile/9790/mitsuki-boruto-naruto-next-generations-mbti-personality-type","","I","N","F","J","9w1","sp/so"
"1615570637-2312","https://www.personality-database.com/personality_type/7","110 / 41   60   41  ESTP3w4CL   K-Pop","https://www.personality-database.com/profile/29784/cl-kpop-mbti-personality-type","","E","S","T","P","3w4","sx/so"
"1615574584-3599","https://www.personality-database.com/personality_type/2","81 / 28    14  ESTJ8w9Galina 'Red' Reznikov   Orange is the New Black (2013)","https://www.personality-database.com/profile/3140/galina-red-reznikov-orange-is-the-new-black-2013-mbti-personality-type","","E","S","T","J","8w9","so/sp"
"1615565705-1130","https://www.personality-database.com/personality_type/12","162 / 42   32   86  ENFP7w8Jack Black   Actors (USA)","https://www.personality-database.com/profile/11070/jack-black-actors-usa-mbti-personality-type","","E","N","F","P","7w8","so/sx"
"1615570501-2281","https://www.personality-database.com/personality_type/8","639 / 285   249   215  ISTP9w8Shrek   Shrek (Franchise)","https://www.personality-database.com/profile/1935/shrek-shrek-franchise-mbti-personality-type","","I","S","T","P","9w8","sp/sx"
"1615562121-140","https://www.personality-database.com/personality_type/16","138 / 66   78   41  ENTJ8w7Johnny Silverhand   Cyberpunk 2077","https://www.personality-database.com/profile/38488/johnny-silverhand-cyberpunk-2077-mbti-personality-type","","E","N","T","J","8w7","sx/so"
"1615568228-1734","https://www.personality-database.com/personality_type/10","247 / 85   135   80  ENFJ2w3Lucy Heartfilia   Fairy Tail","https://www.personality-database.com/profile/1255/lucy-heartfilia-fairy-tail-mbti-personality-type","","E","N","F","J","2w3","sx/sp"
"1615570613-2306","https://www.personality-database.com/personality_type/7","109 / 38   15   15  ESTP7w8Yumeko Jabami   Kakegurui (2018)","https://www.personality-database.com/profile/43511/yumeko-jabami-kakegurui-2018-mbti-personality-type","","E","S","T","P","7w8","so/sx"
"1615563165-442","https://www.personality-database.com/personality_type/15","241 / 91   93   79  INTJ8w7Seto Kaiba   Yu-Gi-Oh! Duel Monsters","https://www.personality-database.com/profile/8417/seto-kaiba-yugioh-duel-monsters-mbti-personality-type","","I","N","T","J","8w7","so/sp"
"1615563706-588","https://www.personality-database.com/personality_type/14","154 / 27   31   56  ENTP6w7Mark Twain   Writers (Literature, Classic)","https://www.personality-database.com/profile/973/mark-twain-writers-literature-classic-mbti-personality-type","","E","N","T","P","6w7","sx/so"
"1615569515-2036","https://www.personality-database.com/personality_type/9","1378 / 627   502   734  INFJ6w5Armin Arlert   Shingeki no Kyojin","https://www.personality-database.com/profile/808/armin-arlert-shingeki-no-kyojin-mbti-personality-type","","I","N","F","J","6w5","sp/so"
"1615567945-1665","https://www.personality-database.com/personality_type/10","131 / 54    38  ENFJ2w1Angela Ziegler ""Mercy""   Overwatch","https://www.personality-database.com/profile/4114/angela-ziegler-mercy-overwatch-mbti-personality-type","","E","N","F","J","2w1","so/sp"
"1615574444-3541","https://www.personality-database.com/personality_type/2","65 / 31   8   20  ESTJ3w4Buggy   One Piece","https://www.personality-database.com/profile/22440/buggy-one-piece-mbti-personality-type","","E","S","T","J","3w4","so/sx"
"1615570137-2200","https://www.personality-database.com/personality_type/8","217 / 57   20   38  ISTP5w6Lucas   Who Made Me A Princess","https://www.personality-database.com/profile/133019/lucas-who-made-me-a-princess-mbti-personality-type","","I","N","T","P","5w6","sp/sx"
"1615568355-1764","https://www.personality-database.com/personality_type/10","360 / 216   48   161  ENFJ2w3Kaede Akamatsu   Danganronpa V3: Killing Harmony","https://www.personality-database.com/profile/12293/kaede-akamatsu-danganronpa-v3-killing-harmony-mbti-personality-type","","E","N","F","J","2w3","so/sx"
"1615574508-3568","https://www.personality-database.com/personality_type/2","70 / 44   10   8  ESTJ3w2Cleopatra   Clone High (2002)","https://www.personality-database.com/profile/95276/cleopatra-clone-high-2002-mbti-personality-type","","E","S","T","J","3w2","so/sx"
"1615572223-2792","https://www.personality-database.com/personality_type/5","105 / 39   8   26  ESFP7w8Ruby   Steven Universe (2013)","https://www.personality-database.com/profile/2642/ruby-steven-universe-2013-mbti-personality-type","","E","S","F","P","7w8","sx/sp"
"1615572889-3010","https://www.personality-database.com/personality_type/5","418 / 202   90   132  ESFP7w8Alyssa   The End of the F***ing World (2017)","https://www.personality-database.com/profile/9579/alyssa-the-end-of-the-fing-world-2017-mbti-personality-type","","E","S","F","P","7w8","sx/sp"
"1615563091-421","https://www.personality-database.com/personality_type/15","198 / 83   34   33  INTJ5w6Oscar Martinez   The Office (US) (2005)","https://www.personality-database.com/profile/33/oscar-martinez-the-office-us-2005-mbti-personality-type","","I","N","T","J","5w6","sp/so"
"1615573355-3182","https://www.personality-database.com/personality_type/4","131 / 58   74   23  ESFJ3w2Mariah Carey   Musicians (USA, Female)","https://www.personality-database.com/profile/998/mariah-carey-musicians-usa-female-mbti-personality-type","","E","S","F","J","3w2","sx/so"
"1615562978-390","https://www.personality-database.com/personality_type/15","176 / 75   10   65  INTJ1w9Clarice Starling   The Silence of the Lambs (1991)","https://www.personality-database.com/profile/2863/clarice-starling-the-silence-of-the-lambs-1991-mbti-personality-type","","I","N","T","J","1w9","sp/so"
"1615566532-1316","https://www.personality-database.com/personality_type/11","142 / 52   62   78  INFP5w4Isabel Briggs Myers   Psychology & Neuroscience","https://www.personality-database.com/profile/26056/isabel-briggs-myers-psychology-neuroscience-mbti-personality-type","","I","N","F","P","5w4","sp/so"
"1615573689-3287","https://www.personality-database.com/personality_type/4","876 / 434   307   176  ESFJ2w1Katara   Avatar: The Last Airbender (2005)","https://www.personality-database.com/profile/1245/katara-avatar-the-last-airbender-2005-mbti-personality-type","","E","S","F","J","2w1","so/sp"
"1615575000-3750","https://www.personality-database.com/personality_type/2","264 / 118   42   47  ESTJ8w7General Li Shang   Mulan (1998)","https://www.personality-database.com/profile/908/general-li-shang-mulan-1998-mbti-personality-type","","E","S","T","J","8w7","so/sp"
"1615566229-1249","https://www.personality-database.com/personality_type/12","406 / 124   339   73  ENFP6w7Ellen DeGeneres   Hosts & Presenters","https://www.personality-database.com/profile/2530/ellen-degeneres-hosts-presenters-mbti-personality-type","","E","N","F","P","6w7","so/sp"
"1615562787-331","https://www.personality-database.com/personality_type/15","132 / 49   25   32  INTJ5w6Evelyn Deavor   The Incredibles (Franchise)","https://www.personality-database.com/profile/13700/evelyn-deavor-the-incredibles-franchise-mbti-personality-type","","I","N","T","J","5w6","sp/sx"
"1615571090-2429","https://www.personality-database.com/personality_type/7","173 / 67   95   18  ESTP3w4Amber Heard   Actresses (USA)","https://www.personality-database.com/profile/14643/amber-heard-actresses-usa-mbti-personality-type","","E","S","T","P","3w4","sx/sp"
"1615572679-2944","https://www.personality-database.com/personality_type/5","223 / 99   53   73  ESFP6w7Tenko Chabashira   Danganronpa V3: Killing Harmony","https://www.personality-database.com/profile/12299/tenko-chabashira-danganronpa-v3-killing-harmony-mbti-personality-type","","E","S","F","P","6w7","so/sx"
"1615566829-1389","https://www.personality-database.com/personality_type/11","198 / 64   31   50  INFP9w1Holly Flax   The Office (US) (2005)","https://www.personality-database.com/profile/26/holly-flax-the-office-us-2005-mbti-personality-type","","I","N","F","P","9w1","sx/so"
"1615571040-2413","https://www.personality-database.com/personality_type/7","161 / 52   33   13  ESTP7w8James Potter   Harry Potter / Wizarding World Films","https://www.personality-database.com/profile/22133/james-potter-harry-potter-wizarding-world-films-mbti-personality-type","","E","S","T","P","7w8","sx/so"
"1615567607-1573","https://www.personality-database.com/personality_type/10","81 / 36   16   17  ENFJ3w4Asano Gakuhō   Ansatsu Kyoushitsu","https://www.personality-database.com/profile/4670/asano-gakuh-ansatsu-kyoushitsu-mbti-personality-type","","E","N","F","J","3w4","so/sp"
"1615572315-2826","https://www.personality-database.com/personality_type/5","119 / 43   23   22  ESFP7w8Jinx   League of Legends","https://www.personality-database.com/profile/3440/jinx-league-of-legends-mbti-personality-type","","E","S","F","P","7w8","sx/so"
"1615568583-1820","https://www.personality-database.com/personality_type/9","103 / 40   18   22  INFJ1w9John Doe   Se7en (1995)","https://www.personality-database.com/profile/10898/john-doe-se7en-1995-mbti-personality-type","","I","N","F","J","1w9","so/sp"
"1615562755-321","https://www.personality-database.com/personality_type/15","127 / 45   29   33  INTJ4w5Kirei Kotomine   Fate/Zero","https://www.personality-database.com/profile/15909/kirei-kotomine-fatezero-mbti-personality-type","","I","N","T","J","4w5","sp/sx"
"1615575555-3950","https://www.personality-database.com/personality_type/1","186 / 81   94   24  ISTJ1w9Xi Jinping (习近平)   Government (Asia)","https://www.personality-database.com/profile/8820/xi-jinping--governmentasia-mbti-personality-type","","I","S","T","J","1w9","sp/so"
"1615574292-3495","https://www.personality-database.com/personality_type/3","273 / 78   30   52  ISFJ6w7Bilbo Baggins   The Hobbit","https://www.personality-database.com/profile/573/bilbo-baggins-the-hobbit-mbti-personality-type","","I","S","F","J","6w7","sp/so"
"1615564042-675","https://www.personality-database.com/personality_type/14","233 / 73   103   71  ENTP7w8Conan O'Brien   Hosts & Presenters","https://www.personality-database.com/profile/687/conan-obrien-hosts-presenters-mbti-personality-type","","E","N","T","P","7w8","so/sp"
"1615563243-461","https://www.personality-database.com/personality_type/15","297 / 125   70   121  INTJ5w4Hannibal Lecter   The Silence of the Lambs (1991)","https://www.personality-database.com/profile/2862/hannibal-lecter-the-silence-of-the-lambs-1991-mbti-personality-type","","I","N","T","J","5w4","sx/sp"
"1615573166-3109","https://www.personality-database.com/personality_type/4","88 / 29   20   24  ESFJ2w3Otonashi Yuzuru   Angel Beats!","https://www.personality-database.com/profile/2795/otonashi-yuzuru-angel-beats-mbti-personality-type","","E","S","F","J","2w3","so/sx"
"1615574228-3476","https://www.personality-database.com/personality_type/3","210 / 81   45   69  ISFJ6w5Edd “Double D”   Ed, Edd n Eddy (1999)","https://www.personality-database.com/profile/1641/edd-double-d-ed-edd-n-eddy-1999-mbti-personality-type","","I","S","F","J","6w5","sp/sx"
"1615567758-1613","https://www.personality-database.com/personality_type/10","97 / 39   28   28  ENFJ8w9Bo-Peep (Toy Story 4)   Toy Story (Franchise)","https://www.personality-database.com/profile/40475/bopeep-toy-story-4-toy-story-franchise-mbti-personality-type","","E","N","F","J","8w9","so/sx"
"1615572450-2870","https://www.personality-database.com/personality_type/5","146 / 71   9   16  ESFP8w7Denver   Money Heist (La Casa de Papel)","https://www.personality-database.com/profile/10659/denver-money-heist-la-casa-de-papel-mbti-personality-type","","E","S","F","P","8w7","so/sx"
"1615568476-1789","https://www.personality-database.com/personality_type/10","1050 / 445   497   341  ENFJ9w1Iroh   Avatar: The Last Airbender (2005)","https://www.personality-database.com/profile/1243/iroh-avatar-the-last-airbender-2005-mbti-personality-type","","E","N","F","J","9w1","sx/so"
"1615565514-1079","https://www.personality-database.com/personality_type/12","129 / 47   33   51  ENFP4w5Serj Tankian   Musicians (USA, Male)","https://www.personality-database.com/profile/10380/serj-tankian-musicians-usa-male-mbti-personality-type","","E","N","F","P","4w5","so/sx"
"1615567673-1593","https://www.personality-database.com/personality_type/10","89 / 44   37   42  ENFJ2w3Setsuna Yuki (Nana Nakagawa)   Love Live! Nijigasaki Gakuen School Idol Doukoukai","https://www.personality-database.com/profile/53481/setsuna-yuki-nana-nakagawa-love-live-nijigasaki-gakuen-school-idol-doukoukai-mbti-personality-type","","E","N","F","J","2w3","so/sp"
"1615564301-753","https://www.personality-database.com/personality_type/14","519 / 181   116   127  ENTP3w2Jimmy McGill “Saul Goodman”   Breaking Bad (2008)","https://www.personality-database.com/profile/676/jimmy-mcgill-saul-goodman-breaking-bad-2008-mbti-personality-type","","E","N","T","P","3w2","so/sp"
"1615574713-3650","https://www.personality-database.com/personality_type/2","99 / 34   2   11  ESTJ8w9Mr. Potato Head   Toy Story (Franchise)","https://www.personality-database.com/profile/883/mr-potato-head-toy-story-franchise-mbti-personality-type","","E","S","T","J","8w9","null"
"1615569148-1959","https://www.personality-database.com/personality_type/9","231 / 79   92   68  INFJ5w6Thomas Jefferson   Presidents of the USA","https://www.personality-database.com/profile/343/thomas-jefferson-presidents-of-the-usa-mbti-personality-type","","I","N","F","J","5w6","so/sp"
"1615570011-2169","https://www.personality-database.com/personality_type/8","184 / 96   71   16  ISTP9w8Protagonist   Doki Doki Literature Club","https://www.personality-database.com/profile/13129/protagonist-doki-doki-literature-club-mbti-personality-type","","I","S","T","P","9w8","sp/sx"
"1615575311-3856","https://www.personality-database.com/personality_type/1","114 / 45   10   25  ISTJ6w5Léon   Léon: The Professional (1994)","https://www.personality-database.com/profile/30196/lon-lon-the-professional-1994-mbti-personality-type","","I","S","T","J","6w5","sp/sx"
"1615562193-163","https://www.personality-database.com/personality_type/16","157 / 62   7   23  ENTJ3w4Gale Hawthorne   The Hunger Games (Franchise)","https://www.personality-database.com/profile/1153/gale-hawthorne-the-hunger-games-franchise-mbti-personality-type","","E","N","T","J","3w4","so/sp"
"1615574986-3745","https://www.personality-database.com/personality_type/2","243 / 93   44   35  ESTJ3w4Draco Malfoy   Harry Potter (Book Series)","https://www.personality-database.com/profile/6233/draco-malfoy-harry-potter-book-series-mbti-personality-type","","E","S","T","J","3w4","sx/sp"
"1615569322-1997","https://www.personality-database.com/personality_type/9","398 / 176   139   243  INFJ9w1Nagisa Shiota   Ansatsu Kyoushitsu","https://www.personality-database.com/profile/4651/nagisa-shiota-ansatsu-kyoushitsu-mbti-personality-type","","I","N","F","J","9w1","so/sp"
"1615575410-3896","https://www.personality-database.com/personality_type/1","130 / 38   16   24  ISTJ1w2Confucius   Confucianism","https://www.personality-database.com/profile/3276/confucius-confucianism-mbti-personality-type","","I","S","T","J","1w2","so/sp"
"1615563104-425","https://www.personality-database.com/personality_type/15","205 / 79   112   47  INTJ1w2Andrew Yang   Business","https://www.personality-database.com/profile/29777/andrew-yang-business-mbti-personality-type","","I","N","T","J","1w2","so/sp"
"1615565190-1002","https://www.personality-database.com/personality_type/13","428 / 201   164   99  INTP6w5Chidi Anagonye   The Good Place (2016)","https://www.personality-database.com/profile/8692/chidi-anagonye-the-good-place-2016-mbti-personality-type","","I","N","T","P","6w5","sp/so"
"1615574801-3684","https://www.personality-database.com/personality_type/2","120 / 63   7   14  ESTJ8w7Veruca Salt   Charlie and the Chocolate Factory (2005)","https://www.personality-database.com/profile/45441/veruca-salt-charlie-and-the-chocolate-factory-2005-mbti-personality-type","","E","S","T","J","8w7","sp/so"
"1615564124-701","https://www.personality-database.com/personality_type/14","296 / 119   19   55  ENTP7w8Bumi   Avatar: The Last Airbender (2005)","https://www.personality-database.com/profile/1249/bumi-avatar-the-last-airbender-2005-mbti-personality-type","","E","N","T","P","7w8","so/sx"
"1615563587-551","https://www.personality-database.com/personality_type/14","131 / 65   30   31  ENTP7w8Solf J. Kimblee   Fullmetal Alchemist: Brotherhood","https://www.personality-database.com/profile/21044/solf-j-kimblee-fullmetal-alchemist-brotherhood-mbti-personality-type","","E","N","T","P","7w8","sp/sx"
"1615564218-728","https://www.personality-database.com/personality_type/14","376 / 159   57   155  ENTP7w6Bugs Bunny   Looney Tunes","https://www.personality-database.com/profile/3487/bugs-bunny-looney-tunes-mbti-personality-type","","E","N","T","P","7w6","so/sp"
"1615565100-984","https://www.personality-database.com/personality_type/13","348 / 178   54   283  INTP5w6Rantaro Amami   Danganronpa V3: Killing Harmony","https://www.personality-database.com/profile/12295/rantaro-amami-danganronpa-v3-killing-harmony-mbti-personality-type","","I","N","T","P","5w6","sp/so"
