web-scraper-order,web-scraper-start-url,info-box,info-box-href,name,mbti-evsi,mbti-svsn,mbti-tvsf,mbti-pvsj,enneagram-finder,insticnt-variant
"1615564348-767","https://www.personality-database.com/personality_type/14","610 / 179   294   75  ENTP3w2Ted Bundy   Criminals","https://www.personality-database.com/profile/1884/ted-bundy-criminals-mbti-personality-type","","E","N","T","P","3w2","sx/so"
"1615572886-3009","https://www.personality-database.com/personality_type/5","415 / 274   114   91  ESFP7w6Ty Lee   Avatar: The Last Airbender (2005)","https://www.personality-database.com/profile/1247/ty-lee-avatar-the-last-airbender-2005-mbti-personality-type","","E","S","F","P","7w6","so/sx"
"1615567588-1567","https://www.personality-database.com/personality_type/10","80 / 29   6   32  ENFJ2w3Alibaba Saluja   Magi","https://www.personality-database.com/profile/7835/alibaba-saluja-magi-mbti-personality-type","","E","N","F","J","2w3","so/sp"
"1615562915-373","https://www.personality-database.com/personality_type/15","164 / 77   213   44  INTJ3w4Kim Yo Jong   Government (Asia)","https://www.personality-database.com/profile/123150/kim-yo-jong-governmentasia-mbti-personality-type","","I","N","T","J","3w4","sp/so"
"1615564266-744","https://www.personality-database.com/personality_type/14","490 / 301   151   298  ENTP7w8Kaeya   Genshin Impact","https://www.personality-database.com/profile/198351/kaeya-genshin-impact-mbti-personality-type","","E","N","T","P","7w8","sx/sp"
"1615565215-1008","https://www.personality-database.com/personality_type/13","453 / 274   105   277  INTP5w4Albedo   Genshin Impact","https://www.personality-database.com/profile/221815/albedo-genshin-impact-mbti-personality-type","","I","N","T","P","5w4","sp/sx"
"1615571446-2541","https://www.personality-database.com/personality_type/6","100 / 50   5   52  ISFP8w7Reko Yabusame   Kimi ga Shine (Your Turn to Die)","https://www.personality-database.com/profile/41180/reko-yabusame-kimi-ga-shine-your-turn-to-die-mbti-personality-type","","I","S","F","P","8w7","so/sp"
"1615573314-3167","https://www.personality-database.com/personality_type/4","121 / 44   30   7  ESFJ1w2Chi-Chi   Dragon Ball Z","https://www.personality-database.com/profile/5167/chichi-dragon-ball-z-mbti-personality-type","","E","S","F","J","1w2","sx/so"
"1615573498-3234","https://www.personality-database.com/personality_type/4","210 / 126   10   50  ESFJ1w2Mahiru Koizumi   Super Danganronpa 2: Goodbye Despair","https://www.personality-database.com/profile/10264/mahiru-koizumi-super-danganronpa-2-goodbye-despair-mbti-personality-type","","E","S","F","J","1w2","so/sp"
"1615567940-1663","https://www.personality-database.com/personality_type/10","128 / 46   7   30  ENFJ2w3Wendy Testaburger   South Park (1997)","https://www.personality-database.com/profile/3617/wendy-testaburger-south-park-1997-mbti-personality-type","","E","N","F","J","2w3","so/sx"
"1615569610-2059","https://www.personality-database.com/personality_type/8","110 / 54   6   38  ISTP8w7Raphael   Teenage Mutant Ninja Turtles (2012)","https://www.personality-database.com/profile/13074/raphael-teenage-mutant-ninja-turtles-2012-mbti-personality-type","","I","S","T","P","8w7","sx/sp"
"1615561965-85","https://www.personality-database.com/personality_type/16","101 / 39   28   34  ENTJ7w8Sinbad   Magi","https://www.personality-database.com/profile/7841/sinbad-magi-mbti-personality-type","","E","N","T","J","7w8","sx/so"
"1615575630-3978","https://www.personality-database.com/personality_type/1","245 / 82   36   58  ISTJ1w9Dexter Morgan   Dexter","https://www.personality-database.com/profile/1840/dexter-morgan-dexter-mbti-personality-type","","I","S","T","J","1w9","sp/sx"
"1615575063-3767","https://www.personality-database.com/personality_type/2","404 / 136   117   128  ESTJ5w6Peridot   Steven Universe (2013)","https://www.personality-database.com/profile/1594/peridot-steven-universe-2013-mbti-personality-type","","E","S","T","J","5w6","sp/so"
"1615569297-1992","https://www.personality-database.com/personality_type/9","346 / 127   222   126  INFJ4w5Kendrick Lamar   Musicians (USA, Male)","https://www.personality-database.com/profile/4821/kendrick-lamar-musicians-usa-male-mbti-personality-type","","I","N","F","J","4w5","so/sp"
"1615569531-2039","https://www.personality-database.com/personality_type/9","1620 / 549   1368   309  INFJ6w5Adolf Hitler   Historical Figures (1900s)","https://www.personality-database.com/profile/1678/adolf-hitler-historical-figures-1900s-mbti-personality-type","","I","N","F","J","6w5","so/sx"
"1615572533-2898","https://www.personality-database.com/personality_type/5","166 / 91   38   74  ESFP8w7Power   Chainsaw Man","https://www.personality-database.com/profile/44146/power-chainsaw-man-mbti-personality-type","","E","S","F","P","8w7","sp/sx"
"1615563000-395","https://www.personality-database.com/personality_type/15","177 / 74   64   85  INTJ3w4Tom Riddle   Harry Potter / Wizarding World Films","https://www.personality-database.com/profile/166908/tom-riddle-harry-potter-wizarding-world-films-mbti-personality-type","","I","N","T","J","3w4","sp/so"
"1615573803-3329","https://www.personality-database.com/personality_type/3","91 / 25   29   20  ISFJ1w9Marie Kondo   Writers (Literature, Modern)","https://www.personality-database.com/profile/24281/marie-kondo-writers-literature-modern-mbti-personality-type","","I","S","F","J","1w9","so/sp"
"1615572163-2777","https://www.personality-database.com/personality_type/6","530 / 243   169   167  ISFP4w3Michael Jackson   Musicians (USA, Male)","https://www.personality-database.com/profile/131/michael-jackson-musicians-usa-male-mbti-personality-type","","I","S","F","P","4w3","so/sx"
"1615563262-466","https://www.personality-database.com/personality_type/15","308 / 175   81   177  INTJ5w4Rohan Kishibe   JoJo no Kimyou na Bouken","https://www.personality-database.com/profile/9039/rohan-kishibe-jojo-no-kimyou-na-bouken-mbti-personality-type","","I","N","T","J","5w4","sx/sp"
"1615563232-458","https://www.personality-database.com/personality_type/15","286 / 123   134   110  INTJ8w9Makima   Chainsaw Man","https://www.personality-database.com/profile/44140/makima-chainsaw-man-mbti-personality-type","","I","N","T","J","8w9","sx/sp"
"1615575548-3947","https://www.personality-database.com/personality_type/1","184 / 87   11   88  ISTJ5w6Nanamine Sakura   Jibaku Shounen Hanako-kun","https://www.personality-database.com/profile/54159/nanamine-sakura-jibaku-shounen-hanakokun-mbti-personality-type","","I","S","T","J","5w6","sp/so"
"1615568596-1824","https://www.personality-database.com/personality_type/9","107 / 40   10   48  INFJ4w3Michael Langdon   American Horror Story (2011)","https://www.personality-database.com/profile/19093/michael-langdon-american-horror-story-2011-mbti-personality-type","","I","N","F","J","4w3","sx/so"
"1615570647-2315","https://www.personality-database.com/personality_type/7","111 / 63   66   17  ESTP8w7Felipe Prior   Big Brother Brasil (BBB)","https://www.personality-database.com/profile/95984/felipe-prior-big-brother-brasil-bbb-mbti-personality-type","","E","S","T","P","8w7","so/sx"
"1615574008-3403","https://www.personality-database.com/personality_type/3","129 / 51   33   10  ISFJ2w1Anastasia Steele   Fifty Shades of Grey (2015)","https://www.personality-database.com/profile/15260/anastasia-steele-fifty-shades-of-grey-2015-mbti-personality-type","","I","S","F","J","2w1","sx/sp"
"1615572122-2766","https://www.personality-database.com/personality_type/6","427 / 173   195   100  ISFP4w3Halsey   Musicians (USA, Female)","https://www.personality-database.com/profile/3916/halsey-musicians-usa-female-mbti-personality-type","","I","S","F","P","4w3","sx/sp"
"1615563828-622","https://www.personality-database.com/personality_type/14","182 / 92   17   93  ENTP3w4Yoshiko Tsushima   Love Live! Sunshine!!","https://www.personality-database.com/profile/5947/yoshiko-tsushima-love-live-sunshine-mbti-personality-type","","E","N","T","P","3w4","sx/so"
"1615570248-2225","https://www.personality-database.com/personality_type/8","267 / 74   47   102  ISTP7w8Marshall Lee   Adventure Time (2010)","https://www.personality-database.com/profile/60384/marshall-lee-adventure-time-2010-mbti-personality-type","","I","S","T","P","7w8","sx/sp"
"1615572272-2810","https://www.personality-database.com/personality_type/5","113 / 39   12   19  ESFP3w4Adam Levine   Musicians (USA, Male)","https://www.personality-database.com/profile/11930/adam-levine-musicians-usa-male-mbti-personality-type","","E","S","F","P","3w4","sx/sp"
"1615561955-82","https://www.personality-database.com/personality_type/16","100 / 34   10   35  ENTJ3w2Nakamura Yuri   Angel Beats!","https://www.personality-database.com/profile/2797/nakamura-yuri-angel-beats-mbti-personality-type","","E","N","T","J","3w2","so/sp"
"1615571941-2713","https://www.personality-database.com/personality_type/6","231 / 73   50   85  ISFP9w1Seulgi (Red Velvet)   K-Pop","https://www.personality-database.com/profile/10254/seulgi-red-velvet-kpop-mbti-personality-type","","I","S","F","P","9w1","sp/so"
"1615574053-3418","https://www.personality-database.com/personality_type/3","136 / 60   17   14  ISFJ2w1Andrew Clark   The Breakfast Club (1985)","https://www.personality-database.com/profile/2926/andrew-clark-the-breakfast-club-1985-mbti-personality-type","","I","S","F","J","2w1","so/sp"
"1615565164-996","https://www.personality-database.com/personality_type/13","385 / 156   121   129  INTP9w1Abraham Lincoln   Presidents of the USA","https://www.personality-database.com/profile/330/abraham-lincoln-presidents-of-the-usa-mbti-personality-type","","I","N","T","P","9w1","so/sp"
"1615571682-2626","https://www.personality-database.com/personality_type/6","134 / 46   19   29  ISFP4w3Sebastian “Seb” Wilder   La La Land (2016)","https://www.personality-database.com/profile/5773/sebastian-seb-wilder-la-la-land-2016-mbti-personality-type","","I","S","F","P","4w3","sp/sx"
"1615569153-1960","https://www.personality-database.com/personality_type/9","234 / 98   34   152  INFJ9w1Sally   The Nightmare Before Christmas (1993)","https://www.personality-database.com/profile/763/sally-the-nightmare-before-christmas-1993-mbti-personality-type","","I","N","F","J","9w1","sp/so"
"1615571074-2425","https://www.personality-database.com/personality_type/7","170 / 72   38   18  ESTP7w8Jordan Belfort   The Wolf of Wall Street (2013)","https://www.personality-database.com/profile/3868/jordan-belfort-the-wolf-of-wall-street2013-mbti-personality-type","","E","S","T","P","7w8","so/sx"
"1615564317-758","https://www.personality-database.com/personality_type/14","536 / 197   125   191  ENTP8w7James “Jim” Moriarty   Sherlock (2010)","https://www.personality-database.com/profile/1523/james-jim-moriarty-sherlock-2010-mbti-personality-type","","E","N","T","P","8w7","sx/so"
"1615567308-1498","https://www.personality-database.com/personality_type/11","446 / 196   87   496  INFP6w7Yamaguchi Tadashi   Haikyuu!!","https://www.personality-database.com/profile/3297/yamaguchi-tadashi-haikyuu-mbti-personality-type","","I","N","F","P","6w7","sp/so"
"1615574040-3414","https://www.personality-database.com/personality_type/3","135 / 61   29   23  ISFJ9w1Cho Chang   Harry Potter / Wizarding World Films","https://www.personality-database.com/profile/54494/cho-chang-harry-potter-wizarding-world-films-mbti-personality-type","","I","S","F","J","9w1","so/sp"
