notable_figure,mbti_evsi,mbti_svsn,mbti_tvsf,mbti_pvsj,enneagram,insticnt_variant
121 / 48   8   61  ISTJ6w5Riko Sakurauchi   Love Live! Sunshine!!,I,S,T,J,6w5,so/sp
217 / 99   31   30  ESFJ2w1Isabella Garcia-Shapiro   Phineas and Ferb (2007),E,S,F,J,2w1,so/sx
87 / 48   18   46  ENTJ3w4Chiyu Tamade (CHU2)   BanG Dream! Girls Band Party! (Bandori),E,N,T,J,3w4,so/sp
173 / 73   21   33  ISFJ9w1Stefan Salvatore   The Vampire Diaries,I,S,F,J,9w1,sp/sx
511 / 199   131   122  ENTP7w8Gina Linetti   Brooklyn Nine-Nine,E,S,T,P,7w8,sx/sp
95 / 41   5   6  ISFJ2w3Tree Trunks   Adventure Time (2010),I,S,F,J,2w3,so/sx
233 / 128   15   82  ISTJ1w9Peko Pekoyama   Super Danganronpa 2: Goodbye Despair,I,S,T,J,1w9,sp/sx
173 / 64   42   42  ISFP9w1Thorfinn Karlsefni   Vinland Saga,I,S,F,P,9w1,sp/sx
213 / 58   50   35  ISFJ2w3Clark Kent “Superman”   DC Extended Universe,I,S,F,J,2w3,sx/so
180 / 55   47   72  ISTJ1w9D.O. (EXO)   K-Pop,I,S,T,J,1w9,sp/so
200 / 74   22   41  ISFJ6w5Rory Gilmore   Gilmore Girls (2000),I,S,F,J,6w5,sp/so
380 / 254   29   279  INFP6w5Toko Fukawa   Danganronpa: Trigger Happy Havoc,I,N,F,P,6w5,sp/sx
162 / 65   18   54  ENTJ3w4Jessie (Musashi)   Pokémon,E,N,T,J,3w4,so/sp
191 / 87   22   109  ENFP4w5John Keating   Dead Poets Society (1989),E,N,F,P,4w5,sx/so
157 / 82   21   70  ENTP7w8Kamishiro Rize   Tokyo Ghoul,E,N,T,P,7w8,sp/sx
"701 / 280   266   148  ESFJ3w2Ariana Grande   Musicians (USA, Female)",E,S,F,J,3w2,so/sx
192 / 74   11   116  ENFP6w7Anya / Grand Duchess Anastasia Nikolaevna of Russia   Anastasia (1997),E,N,F,P,6w7,sx/sp
212 / 100   89   80  ENTP8w7PennyWise (It)   It,E,N,T,P,8w7,sp/sx
102 / 52   2   25  ISTJ1w2Rabbit   Winnie the Pooh (2011),I,S,T,J,1w2,sp/sx
170 / 57   33   49  INTJ5w6Bruce Wayne “Batman”   Batman: The Animated Series (1992),I,N,T,J,5w6,sp/so
135 / 51   49   35  ISFJ5w4Okuda Manami   Ansatsu Kyoushitsu,I,S,F,J,5w4,sp/so
404 / 224   144   297  INFP4w5Björk   Musicians (Europe),I,N,F,P,4w5,sx/sp
284 / 85   119   73  ISFJ9w1Shawn Mendes   Musicians (Canada),I,S,F,J,9w1,sp/so
209 / 96   103   77  ISTP9w839daph   Gaming,I,S,T,P,9w8,sp/sx
248 / 123   50   84  ESFJ2w3Cher Horowitz   Clueless (1995),E,S,F,J,2w3,so/sx
319 / 168   74   100  ESFJ3w2Papyrus   Undertale,E,S,F,J,3w2,so/sx
345 / 190   42   319  INFP4w5Tim Burton   Film Directors,I,N,F,P,4w5,sx/so
240 / 89   79   58  INTP5w6Jimmy Neutron   The Adventures of Jimmy Neutron: Boy Genius (2002),I,N,T,P,5w6,sp/so
340 / 118   115   128  ENTP5w4Shougo Makishima   Psycho-Pass,E,N,T,P,5w4,sx/so
305 / 109   47   76  ENFP2w3Jessica “Jess” Day   New Girl (2011),E,N,F,P,2w3,so/sx
211 / 64   18   81  INTJ4w3Yut-Lung Lee   Banana Fish,I,N,T,J,4w3,so/sp
119 / 52   30   38  ENFP7w6Dave Chappelle   Comedians,E,N,F,P,7w6,sx/sp
88 / 28   14   10  ESFJ2w1Cho Chang   Harry Potter (Book Series),E,S,F,J,2w1,so/sx
115 / 77   9   31  ENFJ3w2Juno   Beastars,E,N,F,J,3w2,so/sx
218 / 110   24   118  INTP9w8Kisuke Urahara   Bleach,I,N,T,P,9w8,sp/sx
197 / 85   109   47  INTJ5w4Varg Vikernes   Criminals,I,N,T,J,5w4,sp/sx
545 / 150   147   102  INTJ3w4Petyr Baelish “Littlefinger”   Game of Thrones (2011),I,N,T,J,3w4,sp/sx
211 / 64   58   68  ENFJ9w8Shanks   One Piece,E,N,F,J,9w8,so/sx
159 / 67   38   88  INTJ8w9Sephiroth   Final Fantasy VII,I,N,T,J,8w9,sp/sx
228 / 109   17   39  ESFP6w7Ronald Weasley   Harry Potter (Book Series),E,S,F,P,6w7,so/sx
165 / 45   69   81  ENFP7w6Chris Pratt   Actors (USA),E,N,F,P,7w6,so/sx
121 / 48   10   84  INTP5w4Milo J. Thatch   Atlantis: The Lost Empire (2001),I,N,T,P,5w4,sx/sp
71 / 33   4   15  ESTJ8w7Iracebeth / The Red Queen   Alice in Wonderland / Through the Looking Glass (2010 - 2016),E,S,T,J,8w7,so/sp
101 / 55   78   29  ESFJ8w9Aoi Todo   Jujutsu Kaisen,E,S,F,J,8w9,sx/so
166 / 49   23   100  ENFP6w7Pikachu   Pokémon,E,N,F,P,6w7,sp/so
94 / 36   7   23  INFJ4w3Harlan Thrombey   Knives Out (2019),I,N,F,J,4w3,sx/sp
346 / 153   190   73  ESTP7w822   Soul (2020),E,S,T,P,7w8,sp/so
149 / 38   26   18  ESTP3w2Maui   Moana (2016),E,S,T,P,3w2,so/sp
119 / 40   13   14  ESTJ1w2Paige Hardaway   Atypical (2017),E,N,F,J,1w2,sx/so
280 / 85   21   55  INFP4w5Rajesh “Raj” Koothrappali   The Big Bang Theory,I,N,F,P,4w5,sx/sp
164 / 87   59   55  ESFP6w7Okuyasu Nijimura   JoJo no Kimyou na Bouken,E,S,F,P,6w7,so/sx
"361 / 181   275   20  ESFP8w76ix9ine   Musicians (USA, Male)",E,S,F,P,8w7,sx/sp
191 / 67   18   128  INFP9w1Mantis   Marvel Cinematic Universe,I,N,F,P,9w1,sx/so
176 / 77   11   34  ISFJ2w1Yue   Avatar: The Last Airbender (2005),I,S,F,J,2w1,so/sx
210 / 88   54   92  ISTP6w5Sydney Novak   I Am Not Okay with This,I,S,T,P,6w5,sx/sp
69 / 43   15   1  ESFJ2w3Shizuki Hitomi   Mahou Shoujo Madoka★Magica,E,S,F,J,2w3,sx/sp
424 / 190   153   243  INFJ6w5Will Graham   Hannibal (2013),I,N,F,J,6w5,sp/sx
195 / 95   21   101  ENTP3w2Nico Yazawa   Love Live! School Idol Project,E,N,T,P,3w2,sx/so
"219 / 82   94   72  INFJ5w4John Kramer ""Jigsaw""   Saw Series (2004)",I,N,F,J,5w4,so/sp
"157 / 67   52   38  ENFP3w4Ashley (bestdressed)   Health, Food, Beauty, Fashion & Lifestyle",E,N,F,P,3w4,sx/so
413 / 179   196   31  ESTJ8w7Kim Jong-un   Government (Asia),E,S,T,J,8w7,sp/so
106 / 48   15   25  ESTP3w2Arthur Pendragon   Merlin (2008),E,S,T,P,3w2,sp/sx
166 / 105   56   70  ENTJ3w4Invader Zim   Invader Zim (2001),E,N,T,J,3w4,so/sp
168 / 73   21   61  ISTP7w8Patrick Verona   10 Things I Hate About You (1999),I,S,T,P,7w8,sx/sp
95 / 36   6   60  INFJ9w1Mirana / The White Queen   Alice in Wonderland / Through the Looking Glass (2010 - 2016),I,N,F,J,9w1,so/sx
166 / 53   228   25  INTJ5w4Dave Powers (Objective Personality)   Psychology & Personal Development,E,N,T,J,5w4,so/sp
68 / 29   1   7  ESFJ2w3Margaret   Regular Show (2010),E,S,F,J,2w3,so/sp
106 / 51   95   15  ISTJ1w9Ruth Bader Ginsburg   Government (USA),I,S,T,J,1w9,so/sp
1501 / 630   957   473  INFJ5w4Chrollo Lucilfer   Hunter X Hunter,I,N,F,J,5w4,sx/so
146 / 66   44   59  ISTJ6w5Akame   Akame ga Kill!,I,S,T,J,6w5,sp/sx
390 / 140   262   154  INFJ6w5Edward Cullen   Twilight (Franchise),I,N,F,J,6w5,sx/sp
118 / 54   76   24  INTP6w5Adam Lanza   Criminals,I,N,T,P,6w5,sp/sx
68 / 44   4   6  ESFJ2w1Hikari Horaki   Neon Genesis Evangelion,E,S,F,J,2w1,so/sx
164 / 66   4   20  ESFP2w3Hanna Marin   Pretty Little Liars,E,S,F,P,2w3,sx/so
547 / 226   199   260  INTJ3w4Kaguya Shinomiya   Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,I,N,T,J,3w4,sp/sx
377 / 155   74   155  INTP5w4Alan Turing   Mathematics,I,N,T,P,5w4,sx/sp
259 / 124   57   132  ENFP4w3Salvador Dalí   Artists,E,N,F,P,4w3,sx/so
115 / 49   11   33  ESFJ7w6Gomez Addams   The Addams Family,E,S,F,J,7w6,sx/so
531 / 269   290   246  ISTJ1w9Zhongli   Genshin Impact,I,S,T,J,1w9,sp/so
197 / 55   29   127  INFJ9w1Lily Collins   Actresses (United Kingdom & Ireland),I,N,F,J,9w1,so/sx
96 / 40   37   29  ISFJ9w1Niki Shiina   Ensemble Stars!,I,S,F,J,9w1,so/sp
173 / 86   39   86  ISFP9w8Sapnap   Gaming,I,S,F,P,9w8,so/sp
72 / 46   5   16  ESFJ1w2Jennifer Jareau   Criminal Minds (2005),E,S,F,J,1w2,so/sx
502 / 222   611   192  ENTP7w8Lucifer Morningstar   Lucifer,E,N,T,P,7w8,sx/so
377 / 171   152   163  INTP5w4Zeke Yeager   Shingeki no Kyojin,I,N,T,P,5w4,sp/sx
297 / 157   243   185  INTJ5w6Kiyotaka Ayanokōji   Youkoso Jitsuryoku Shijou no Kyoushitsu,I,N,T,J,5w6,sp/so
186 / 66   60   27  ISFJ1w2Starlight   The Boys (2019),I,S,F,J,1w2,so/sp
138 / 51   8   65  ISFP4w5Beverly Marsh   It,I,S,F,P,4w5,sx/so
86 / 36   12   26  ENFJ2w1Minion   Megamind (2010),E,N,F,J,2w1,null
110 / 51   2   19  ISTJ1w9James Gordon   The Dark Knight Trilogy,I,S,T,J,1w9,sx/sp
111 / 42   2   33  ESTJ1w2Lin   Sen to Chihiro no Kamikakushi,E,S,T,J,1w2,so/sp
194 / 67   16   72  ESTJ6w5Erza Scarlet   Fairy Tail,E,S,T,J,6w5,so/sp
113 / 32   20   23  INTP3w4Kevin Spacey   Actors (USA),I,S,T,P,3w4,sp/sx
194 / 84   52   92  INTJ5w4Jean-Paul Sartre   Philosophy,I,N,T,J,5w4,sx/sp
"138 / 44   8   34  INTJ8w9Victor von Doom ""Doctor Doom""   Marvel Comics",I,N,T,J,8w9,so/sp
118 / 39   5   42  ENFP7w6Michelangelo   Teenage Mutant Ninja Turtles (2012),E,N,F,P,7w6,so/sx
88 / 35   9   33  ENFJ1w2Malala Yousafzai   Activists,E,N,F,J,1w2,sp/so
76 / 35   11   18  ESFJ2w3Leni Loud   The Loud House,E,S,F,J,2w3,null
189 / 71   27   23  ESFJ3w2Hercules   Hercules (franchise),E,S,F,J,3w2,so/sx
82 / 42   18   32  ESTJ6w7Nino Nakano   Gotoubun no Hanayome,E,S,T,J,6w7,sx/so
73 / 40   7   17  ESFJ2w3Emily Prentiss   Criminal Minds (2005),E,S,F,J,2w3,sp/sx
445 / 202   93   208  ESTJ6w7Jean Kirstein   Shingeki no Kyojin,E,S,T,J,6w7,sp/sx
132 / 76   29   51  ESFP6w7Robert E. O. Speedwagon   JoJo no Kimyou na Bouken,E,S,F,P,6w7,sp/so
203 / 78   81   88  INTJ6w5Chara   Undertale,I,N,T,J,6w5,sx/sp
240 / 123   37   79  ISFJ9w1V (Jihyun Kim)   Mystic Messenger,I,S,F,J,9w1,sx/so
114 / 62   96   55  INFJ1w9Enrico Pucci   JoJo no Kimyou na Bouken,I,N,F,J,1w9,sx/sp
468 / 198   89   373  INFJ9w1Haku   Sen to Chihiro no Kamikakushi,I,N,F,J,9w1,sp/so
"379 / 123   24   60  ISTP9w8Clint Barton ""Hawkeye""   Marvel Cinematic Universe",I,S,T,P,9w8,sp/sx
328 / 101   23   95  ISTP9w8Bucky Barnes “Winter Soldier”   Marvel Cinematic Universe,I,S,T,P,9w8,sp/so
122 / 71   30   13  ESFP3w4Teruteru Hanamura   Super Danganronpa 2: Goodbye Despair,E,S,F,P,3w4,sx/so
140 / 51   31   21  ESTP8w7Zlatan Ibrahimovic   Football (Soccer),E,S,T,P,8w7,sx/sp
122 / 36   15   39  ISFP9w1Troye Sivan   Musicians (Oceania),I,S,F,P,9w1,sx/so
320 / 168   60   141  ENFJ2w3Mirio Togata “Lemillion”   Boku no Hero Academia,E,N,F,J,2w3,so/sx
104 / 43   10   7  ENTJ8w7Napoleon   Animal Farm,E,N,T,J,8w7,so/sp
418 / 126   164   127  ISFP6w7Marilyn Monroe   People of Classic Hollywood,I,S,F,P,6w7,sx/sp
220 / 63   134   71  ENFP4w3Brie Larson   Actresses (USA),E,N,F,P,4w3,so/sp
"154 / 46   39   55  ISFP4w3Gwen Stefani   Musicians (USA, Female)",I,S,F,P,4w3,sx/so
"172 / 67   39   119  INFJ5w4Agatha Christie   Writers (Literature, Classic)",I,N,F,J,5w4,sx/sp
90 / 27   2   11  ENTJ8w7Johann Schmidt “Red Skull”   Marvel Cinematic Universe,E,N,T,J,8w7,sp/sx
"175 / 65   76   46  ISTJ1w9John Jurasek (TheReportOfTheWeek / Reviewbrah)   Health, Food, Beauty, Fashion & Lifestyle",I,S,T,J,1w9,sp/so
163 / 62   55   42  ISFJ6w7Tifa Lockhart   Final Fantasy VII,I,S,F,J,6w7,sp/sx
165 / 64   50   36  ESFJ2w3Nana Komatsu   Nana,E,S,F,J,2w3,sx/so
399 / 217   352   163  INTP5w6Technoblade   Gaming,I,N,T,P,5w6,sp/so
112 / 53    20  ESFP7w6Aoi Asahina   Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,E,S,F,P,7w6,so/sx
166 / 58   43   26  ENTJ3w4Simon Cowell   Britain's Got Talent,E,N,T,J,3w4,so/sp
"262 / 112   43   44  ENTJ7w8Anthony ""Tony"" Stonem   Skins (UK) (2007)",E,N,T,J,7w8,sx/so
141 / 63   98   45  ENTP7w8Tohru Adachi   Persona 4,E,N,T,P,7w8,sx/sp
159 / 73   12   66  ISFP4w5Juleka Couffaine   Miraculous: Tales of Ladybug & Cat Noir (2015),I,S,F,P,4w5,sp/so
198 / 91   22   43  ENFJ9w1Asgore   Undertale,E,N,F,J,9w1,so/sx
93 / 36   29   27  ENFJ9w8Avatar Wan   The Legend of Korra (2012),E,N,F,J,9w8,sx/so
202 / 67   27   27  ENTJ8w7Sauron   The Lord of the Rings,E,N,T,J,8w7,sp/sx
326 / 137   80   153  ISFJ2w1Nezuko Kamado   Kimetsu no Yaiba,I,S,F,J,2w1,so/sp
356 / 156   91   326  INFP9w1WALL·E   WALL·E (2008),I,N,F,P,9w1,sx/sp
173 / 81   49   107  ENTP7w8Nikolai Gogol   Bungou Stray Dogs,E,N,T,P,7w8,sx/so
109 / 41   11   6  ESTP8w7Santino “Sonny” Corleone   The Godfather,E,S,T,P,8w7,so/sx
124 / 60   13   43  ENTJ3w4Asano Gakushū   Ansatsu Kyoushitsu,E,N,T,J,3w4,so/sx
"137 / 75   21   43  INTJ3w4Randall Boggs   Monsters, Inc. (2001)",I,N,T,J,3w4,sx/sp
140 / 49   6   54  INTJ1w9Arima Kishou   Tokyo Ghoul,I,N,T,J,1w9,sp/so
721 / 305   363   327  ENTP6w7Edward Elric   Fullmetal Alchemist: Brotherhood,E,N,T,P,6w7,sx/so
683 / 326   423   142  ESFP8w7Korra   The Legend of Korra (2012),E,S,F,P,8w7,sx/sp
243 / 112   131   117  INTJ8w9Sun Tzu   Historical Figures (1st Millenium BCE),I,N,T,J,8w9,sp/so
"181 / 71   35   97  INFP9w1Alicia Keys   Musicians (USA, Female)",I,N,F,P,9w1,so/sx
234 / 108   116   57  ISTP3w4Michael Jordan   Basketball,I,S,T,P,3w4,sp/sx
192 / 62   69   106  ENFP4w3Helena Bonham Carter   Actresses (United Kingdom & Ireland),E,N,F,P,4w3,so/sx
165 / 87   26   53  ESFP3w2Charlotte “Lottie” La Bouff   The Princess and the Frog (2009),E,S,F,P,3w2,so/sx
186 / 80   21   92  ISTJ1w9Shimizu Kiyoko   Haikyuu!!,I,S,T,J,1w9,sp/so
365 / 188   91   242  INTJ5w4Wednesday Addams   The Addams Family,I,N,T,J,5w4,sx/sp
177 / 65   97   52  ENFJ7w6Choerry (LOONA)   K-Pop,E,N,F,J,7w6,so/sx
113 / 67   19   37  ISTP8w9Technoblade (Dream SMP)   Online Fictional Characters,I,S,T,P,8w9,sp/sx
117 / 54   9   28  ESFP7w8Clover   Totally Spies!,E,S,F,P,7w8,sx/so
134 / 45   81   59  ISFP9w8Jung JinSoul (LOONA)   K-Pop,I,S,F,P,9w8,so/sp
96 / 37   11   30  ENTJ3w4Garry Kasparov   Chess,E,N,T,J,3w4,null
216 / 101   22   34  ESFP7w6Jason Mendoza   The Good Place (2016),E,S,F,P,7w6,so/sx
"123 / 53   9   53  ISFP9w8Beatrix Kiddo ""Black Mamba""   Kill Bill (2003)",I,S,F,P,9w8,sx/sp
139 / 53   38   113  INFP6w7Nicolas Cage   Actors (USA),I,N,F,P,6w7,sx/sp
109 / 33   21   68  INTP4w5Martin Freeman   Actors (United Kingdom & Ireland),I,N,T,P,4w5,so/sp
"139 / 35   20   18  ISFJ1w2Steve Rogers ""Captain America""   Marvel Comics",I,S,F,J,1w2,so/sp
201 / 78   38   68  ENFP2w3Tinker Bell   Tinker Bell (2008),E,N,F,P,2w3,so/sx
118 / 42   13   59  ESFP7w6Grelle Sutcliff   Kuroshitsuji,E,S,F,P,7w6,sx/so
233 / 89   26   118  ENTP7w8Sora Nai   No Game No Life,E,N,T,P,7w8,sx/so
146 / 81   62   41  ENTJ8w7Otto von Bismarck   Historical Figures (1800s),E,N,T,J,8w7,so/sx
254 / 91   193   18  ENTJ8w7Daniel Santomé Lemus (DalasReview)   General Vloggers,E,N,T,J,8w7,so/sp
"215 / 88   53   52  ISTP9w8Snoop Dogg   Musicians (USA, Male)",I,S,T,P,9w8,sx/sp
120 / 59   15   37  INTJ8w9Noah (Hanno Tauber)   Dark (2017),I,N,T,J,8w9,sx/sp
201 / 85   39   46  ESFP7w8Natsu Dragneel   Fairy Tail,E,S,F,P,7w8,so/sx
111 / 29   30   54  INFJ2w3Hongjoong (ATEEZ)   K-Pop,I,N,F,J,2w3,sx/so
222 / 99   102   113  INTP5w4Toby Fox   Technology (Gaming),I,N,T,P,5w4,sx/sp
431 / 235   465   121  ENTJ3w4Patrick Bateman   American Psycho (2000),E,N,T,J,3w4,so/sp
156 / 63   21   108  INFJ5w4Sapphire   Steven Universe (2013),I,N,F,J,5w4,sp/sx
273 / 96   57   95  ENFP7w8Nairóbi   Money Heist (La Casa de Papel),E,N,F,P,7w8,so/sx
"404 / 200   256   242  INFJ4w5Fyodor Dostoevsky   Writers (Literature, Classic)",I,N,F,J,4w5,sp/so
94 / 35   10   23  ISTJ5w6Shino Aburame   Naruto Shippūden,I,S,T,J,5w6,sp/so
68 / 29   16   12  ESTJ3w4Rui Yashio   BanG Dream! Girls Band Party! (Bandori),E,S,T,J,3w4,sp/so
212 / 65   15   39  ENTJ8w9Nick Fury   Marvel Cinematic Universe,E,N,T,J,8w9,sp/so
"151 / 68   24   45  INTP5w6Beatrice ""Betty""   Re:Zero Kara Hajimeru Isekai Seikatsu",I,N,T,P,5w6,sp/so
503 / 265   260   317  INTJ4w3Ryunosuke Akutagawa   Bungou Stray Dogs,I,N,T,J,4w3,sx/sp
112 / 49   19   26  INTP5w4Ellie Chu   The Half of It (2020),I,N,T,P,5w4,sp/sx
465 / 263   39   156  ENTJ8w7Byakuya Togami   Danganronpa: Trigger Happy Havoc,E,N,T,J,8w7,sp/so
126 / 69   8   68  ESTP7w8Panty Anarchy   Panty & Stocking with Garterbelt,E,S,T,P,7w8,sx/so
253 / 84   31   111  ENTP7w8Ryan Reynolds   Actors & Actresses (Canada),E,N,T,P,7w8,sx/sp
202 / 79   26   78  ISFP9w8Ichigo Kurosaki   Bleach,I,S,F,P,9w8,sp/sx
103 / 63   233   3  ENFJ1w2Lumena Aleluia   Big Brother Brasil (BBB),E,N,F,J,1w2,so/sp
129 / 86   20   70  ENTP5w4Echidna   Re:Zero Kara Hajimeru Isekai Seikatsu,E,N,T,P,5w4,sx/sp
511 / 235   148   133  ENTJ8w7Eric Cartman   South Park (1997),E,N,T,J,8w7,sx/so
256 / 121   77   120  INFJ5w4Gautama Buddha   Buddhism,I,N,F,J,5w4,sp/sx
139 / 55   38   25  ESTJ6w5Kim Wexler   Better Call Saul,E,S,T,J,6w5,sp/sx
202 / 96   44   95  ENFP2w3Charlie Magne   Hazbin Hotel,E,N,F,P,2w3,so/sx
125 / 46   24   33  INFP9w8Nobi Nobita   Doraemon,I,N,F,P,9w8,sp/sx
"159 / 49   34   39  ESTP8w7James ""Sawyer"" Ford   Lost (2004)",E,S,T,P,8w7,sp/sx
139 / 66   41   74  INTP9w8Ranmaru Kageyama   Kimi ga Shine (Your Turn to Die),I,N,T,P,9w8,sp/sx
871 / 384   368   281  ENFJ2w1Emma   Yakusoku no Neverland,E,N,F,J,2w1,so/sx
1040 / 487   202   359  ISTJ6w5Mikasa Ackerman   Shingeki no Kyojin,I,S,T,J,6w5,sp/sx
109 / 51   13   36  ISFP4w3Robbie Valentino   Gravity Falls (2012),I,S,F,P,4w3,so/sx
401 / 140   139   119  ENFP2w3Peeta Mellark   The Hunger Games (Franchise),E,N,F,P,2w3,so/sx
501 / 250   351   179  INFJ4w5Joe Goldberg   You,I,N,F,J,4w5,sx/sp
224 / 104   83   84  ENTP8w7Askeladd   Vinland Saga,E,N,T,P,8w7,sx/sp
71 / 25   2   8  ESFJ7w8Helsinki   Money Heist (La Casa de Papel),E,S,F,J,7w8,so/sx
333 / 171   70   175  INFP4w5Thom Yorke   Musicians (United Kingdom & Ireland),I,N,F,P,4w5,sp/sx
107 / 44   10   33  INTP5w6Child Emperor   One Punch Man,I,N,T,P,5w6,sp/sx
109 / 48   18   38  ISTP9w8The Driver   Drive (2011),I,S,T,P,9w8,sx/sp
150 / 53   41   42  INFJ6w5Suzue Kambe   Fugou Keiji: Balance:Unlimited,I,N,F,J,6w5,sx/sp
332 / 166   326   69  ISFP4w5Isabella “Bella” Swan   Twilight (Franchise),I,S,F,P,4w5,sx/sp
212 / 67   64   45  ESFP8w7Pablo Picasso   Artists,E,S,F,P,8w7,sp/sx
116 / 37   26   50  INFJ6w5Westley   The Princess Bride (1987),I,N,F,J,6w5,sx/sp
93 / 48   4   23  ESFJ2w1Saaya Yamabuki   BanG Dream! Girls Band Party! (Bandori),E,S,F,J,2w1,so/sp
166 / 74   32   39  ESTP1w2Aisha / Layla   Winx Club (2004),E,S,T,P,1w2,sx/sp
126 / 39   19   31  INTP5w6Teresa Agnes   Maze Runner (Film Trilogy),I,N,T,P,5w6,sp/so
"134 / 50   33   71  INFJ4w5Sufjan Stevens   Musicians (USA, Male)",I,N,F,J,4w5,sx/sp
223 / 97   51   56  ISFP9w1Jesus “Soos” Ramirez   Gravity Falls (2012),I,S,F,P,9w1,so/sx
353 / 148   86   159  INTP9w1C.C.   Code Geass,I,N,T,P,9w1,sp/sx
582 / 239   209   463  INFP4w5Gaara   Naruto Shippūden,I,N,F,P,4w5,so/sp
75 / 33   32   2  ESTJ3w4Piers Morgan   News & Journalists,E,S,T,J,3w4,so/sp
163 / 55   10   51  ENTJ8w7Hela   Marvel Cinematic Universe,E,N,T,J,8w7,sp/sx
116 / 69   9   36  ENFP2w3Cody Anderson   Total Drama (2007),E,N,F,P,2w3,so/sx
182 / 46   58   27  ESTP6w7Carl Grimes   The Walking Dead (2010),I,S,T,P,6w7,sp/so
115 / 41   2   38  ENTJ8w7Yzma   The Emperor's New Groove (2000),E,N,T,J,8w7,so/sp
83 / 29   125   3  ESTJ7w8Matteo Salvini   Government (Europe),E,S,T,J,7w8,sx/so
434 / 186   46   71  ENTP9w8Ryoji Kaji   Neon Genesis Evangelion,E,N,T,P,9w8,so/sx
345 / 101   197   152  ENTP7w6Finn Wolfhard   Actors & Actresses (Canada),E,N,T,P,7w6,sp/sx
587 / 280   200   299  ENFP3w4Mello   Death Note,E,N,F,P,3w4,sx/so
311 / 109   30   108  INTJ1w9Fitzwilliam Darcy   Pride and Prejudice (2005),I,N,T,J,1w9,sp/so
"439 / 202   229   197  ENFP7w8Tyler, the Creator   Musicians (USA, Male)",E,N,F,P,7w8,sx/sp
253 / 95   66   68  INTJ3w4Kars   JoJo no Kimyou na Bouken,I,N,T,J,3w4,so/sp
209 / 85   61   29  ISTJ3w4Alexandria “Alex” Dunphy   Modern Family (2009),I,N,T,J,3w4,sp/so
341 / 153   62   68  ENTJ3w2Princess Carolyn   BoJack Horseman (2014),E,N,T,J,3w2,so/sx
125 / 49   13   45  ESFP7w8Kushina Uzumaki   Naruto Shippūden,E,S,F,P,7w8,so/sx
841 / 395   401   594  ISFP7w8Coraline Jones   Coraline (2009),I,N,F,P,7w8,sx/sp
109 / 37   11   20  ISTP9w8Robert Chase   House M.D.,I,S,T,P,9w8,sp/sx
120 / 45   6   48  ISTJ1w9Byakuya Kuchiki   Bleach,I,S,T,J,1w9,sp/sx
125 / 38   8   40  INTJ6w5Mr. Gold   Once Upon a Time (2011),I,N,T,J,6w5,sp/sx
212 / 98   131   83  INFJ5w4Makoto Yuki   Persona 3,I,N,F,J,5w4,sp/sx
719 / 366   315   380  INTJ5w4Shuichi Saihara   Danganronpa V3: Killing Harmony,I,N,T,J,5w4,sp/so
122 / 32   2   19  ESFJ2w1Hera   Greco-Roman,E,S,F,J,2w1,sx/so
268 / 112   194   162  INFP9w1IU   K-Pop,I,N,F,P,9w1,sp/so
402 / 121   105   289  INFJ4w3Benedict Cumberbatch   Actors (United Kingdom & Ireland),I,N,F,J,4w3,sp/so
137 / 76   44   40  ISTP8w9The Man With No Name   The Dollars Trilogy,I,S,T,P,8w9,sp/sx
197 / 94   41   82  ESFJ6w7Karkat Vantas   Homestuck,E,S,F,J,6w7,so/sp
"91 / 50   4   16  ISFJ6w7Devon Joseph ""DJ""   Total Drama (2007)",I,S,F,J,6w7,sp/so
434 / 215   182   195  ENTJ8w9Daisuke Kambe   Fugou Keiji: Balance:Unlimited,E,N,T,J,8w9,sp/so
236 / 99   75   93  ENFP7w6Chitanda Eru   Hyouka,E,N,F,P,7w6,so/sx
221 / 82   14   34  ESFJ2w1Molly Weasley   Harry Potter / Wizarding World Films,E,S,F,J,2w1,so/sx
156 / 72   31   32  ENTJ8w9Daniel Plainview   There Will Be Blood (2007),E,N,T,J,8w9,so/sp
144 / 25   8   33  ENTJ8w9Thanos   Marvel Comics,E,N,T,J,8w9,sx/sp
108 / 38   2   18  ESTP7w8James T. Kirk   Star Trek (1966),E,S,T,P,7w8,sx/so
229 / 80   26   83  INTJ5w6Piccolo Jr.   Dragon Ball Z,I,N,T,J,5w6,sp/so
248 / 85   42   61  ENTJ8w9Temari   Naruto Shippūden,E,N,T,J,8w9,so/sp
104 / 26   29   25  ESFJ3w2Mingyu (SEVENTEEN)   K-Pop,E,S,F,J,3w2,so/sp
128 / 65   42   31  ENTP8w7Palermo   Money Heist (La Casa de Papel),E,N,T,P,8w7,sx/so
333 / 162   247   161  ISFP4w5Alex Turner   Musicians (United Kingdom & Ireland),I,S,F,P,4w5,sx/sp
82 / 49   30   8  ESTJ6w7Osana Najimi   Yandere Simulator,E,S,T,J,6w7,sx/sp
1073 / 381   443   384  ENTP7w6Number Four “Klaus Hargreeves”   The Umbrella Academy (2019),E,N,T,P,7w6,sx/so
"141 / 58   32   45  INTJ5w4Trent Reznor   Musicians (USA, Male)",I,N,T,J,5w4,sx/sp
